"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","100251","Test modification de provenance sur un site récèption (selection adresse via maps)","chromium","Mon Jan 06 00:20:22 CET 2025","broken","Mon Jan 06 00:22:02 CET 2025","@smoke","Provenance\modificationProvenance.spec.ts","",""
"","1","Test avec création entreprise","firefox","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Transporteur\createTransporteur.spec.ts","",""
"","2473","Test création de destination sur un site évacuation (selection adresse via maps )","firefox","Thu Dec 12 15:11:50 CET 2024","failed","Thu Dec 12 15:11:53 CET 2024","@smoke","Destination\creationDestination.spec.ts","",""
"","0","Test création de provenance sur un site récèption (selection adresse via maps)","chromium","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\modificationProvenance.spec.ts","",""
"","105145","Modif entreprise et check transporteur","chromium","Mon Jan 06 00:07:02 CET 2025","broken","Mon Jan 06 00:08:47 CET 2025","","Entreprise\modifyEntreprise.spec.ts","",""
"","0","Test Ouverture/Fermeture/Archivage de provenance","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\creationProvenance.spec.ts","",""
"","3300","Test Ouverture/Fermeture/Archivage de destination","firefox","Fri Nov 22 01:28:39 CET 2024","broken","Fri Nov 22 01:28:42 CET 2024","","Destination\creationDestination.spec.ts","",""
"","0","Test standard","firefox","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Transporteur\createTransporteur.spec.ts","",""
"","0","Test création de provenance sur un site récèption (selection adresse via maps)","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\modificationProvenance.spec.ts","",""
"","0","Test standard","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Transporteur\createTransporteur.spec.ts","",""
"","17369","Test avec création entreprise","firefox","Thu Sep 19 00:04:52 CEST 2024","passed","Thu Sep 19 00:05:10 CEST 2024","","Entreprise/modifyEntreprise.spec.ts","",""
"","0","Test création de passage sur un site platform","firefox","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Passage\creationPassageSitePlateforme.spec.ts","",""
"","0","Test Ouverture/Fermeture/Archivage de provenance","firefox","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\modificationProvenance.spec.ts","",""
"","0","Test création de passage sur un site reception","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Passage\creationPassageSiteReception.spec.ts","",""
"","3273","Test création de destination sur un site évacuation (selection adresse via maps )","webkit","Fri Nov 22 01:29:57 CET 2024","broken","Fri Nov 22 01:30:00 CET 2024","","Destination\creationDestination.spec.ts","",""
"","0","Test standard","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Transporteur\modifyTransporteur.spec.ts","",""
"","103631","Test modification de provenance sur un site récèption","chromium","Thu Dec 12 15:19:09 CET 2024","broken","Thu Dec 12 15:20:53 CET 2024","","Provenance\modificationProvenance.spec.ts","",""
"","72541","Test création de passage sur un site platform","chromium","Mon Jan 06 00:10:33 CET 2025","failed","Mon Jan 06 00:11:45 CET 2025","","Passage\creationPassageSitePlateforme.spec.ts","",""
"","105535","Test création de provenance sur un site récèption","chromium","Mon Jan 06 00:13:27 CET 2025","broken","Mon Jan 06 00:15:13 CET 2025","@smoke","Provenance\creationProvenance.spec.ts","",""
"","58011","Test création de destination sur un site évacuation","chromium","Thu Dec 12 14:45:43 CET 2024","passed","Thu Dec 12 14:46:41 CET 2024","","Destination\creationDestination.spec.ts","",""
"","16249","Test classique","chromium","Wed Sep 18 19:09:32 CEST 2024","passed","Wed Sep 18 19:09:48 CEST 2024","","Transporteur/createTransporteur.spec.ts","",""
"","30094","Test classique","firefox","Wed Sep 18 19:09:49 CEST 2024","broken","Wed Sep 18 19:10:19 CEST 2024","","Transporteur/createTransporteur.spec.ts","",""
"","100313","Test modification de destination","chromium","Mon Jan 06 00:03:36 CET 2025","broken","Mon Jan 06 00:05:16 CET 2025","@smoke","Destination\modificationDestination.spec.ts","",""
"","0","Test avec création entreprise","webkit","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Transporteur\createTransporteur.spec.ts","",""
"","104492","Test création de provenance sur un site récèption (selection adresse via maps)","chromium","Thu Dec 12 15:43:53 CET 2024","broken","Thu Dec 12 15:45:37 CET 2024","","Provenance\creationProvenance.spec.ts","",""
"","0","Test Ouverture/Fermeture/Archivage de provenance","firefox","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\creationProvenance.spec.ts","",""
"","10","Test classique","webkit","Wed Sep 18 19:10:12 CEST 2024","failed","Wed Sep 18 19:10:12 CEST 2024","","Transporteur/createTransporteur.spec.ts","",""
"","105258","Test Ouverture/Fermeture/Archivage de provenance","chromium","Mon Jan 06 00:16:55 CET 2025","broken","Mon Jan 06 00:18:40 CET 2025","@smoke","Provenance\creationProvenance.spec.ts","",""
"","64083","Test création de destination sur un site évacuation","firefox","Thu Dec 12 15:10:45 CET 2024","passed","Thu Dec 12 15:11:49 CET 2024","@smoke","Destination\creationDestination.spec.ts","",""
"","108459","Test avec création entreprise","chromium","Mon Jan 06 00:25:33 CET 2025","broken","Mon Jan 06 00:27:21 CET 2025","","Transporteur\createTransporteur.spec.ts","",""
"","0","Test création de provenance sur un site récèption (selection adresse via maps)","firefox","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\modificationProvenance.spec.ts","",""
"","0","Test Ouverture/Fermeture/Archivage de provenance","chromium","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\creationProvenance.spec.ts","",""
"","0","Test création de passage sur un site reception","firefox","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Passage\creationPassageSiteReception.spec.ts","",""
"","91015","Test modification de destination","chromium","Thu Dec 12 14:48:43 CET 2024","passed","Thu Dec 12 14:50:14 CET 2024","","Destination\modificationDestination.spec.ts","",""
"","0","Test modification de provenance sur un site récèption","firefox","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Provenance\modificationProvenance.spec.ts","",""
"","52358","Test création de destination sur un site évacuation (selection adresse via maps )","chromium","Thu Dec 12 14:46:41 CET 2024","passed","Thu Dec 12 14:47:33 CET 2024","","Destination\creationDestination.spec.ts","",""
"","100226","Test modification de provenance sur un site récèption","chromium","Mon Jan 06 00:18:41 CET 2025","broken","Mon Jan 06 00:20:21 CET 2025","@smoke","Provenance\modificationProvenance.spec.ts","",""
"","1","Test création de passage sur un site evacuation","firefox","Thu Dec 12 14:52:55 CET 2024","skipped","Thu Dec 12 14:52:55 CET 2024","","Passage\creationPassageSiteEvacuation.spec.ts","",""
"","63246","Test Ouverture/Fermeture/Archivage de destination","webkit","Thu Dec 12 15:15:00 CET 2024","failed","Thu Dec 12 15:16:03 CET 2024","@smoke","Destination\creationDestination.spec.ts","",""
"","24043","Test création de destination sur un site évacuation","chromium","Mon Nov 25 16:16:02 CET 2024","failed","Mon Nov 25 16:16:26 CET 2024","","Destination\modificationDestination.spec.ts","",""
